;Philosophers problem;
5 Philosophers;
Running by 2s;
Using Semaphore;;;;;;;;;;;;;Using Synchronized;;;;;;;;;;;;;Using Lock and Condition;;;;;;;;;;;;;;
; Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;


; Min;;;;;;Max;;;;;;;Min;;;;;;Max;;;;;;;Min;;;;;;Max
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;;160;162;151;231;;;169;179;169;248;;;;240;229;220;452;;;262;242;240;4315;;;;157;143;145;228;;;170;157;156;248;;;;;
;;156;153;159;228;;;167;169;171;251;;;;227;232;238;440;;;249;247;253;4529;;;;162;148;156;222;;;176;166;176;244;;;;;
;;154;161;155;223;;;169;178;167;240;;;;251;241;235;456;;;262;264;252;4104;;;;156;152;153;215;;;167;168;171;239;;;;;
;;164;150;151;230;;;190;161;164;250;;;;248;248;240;452;;;271;269;261;4026;;;;146;153;150;217;;;168;168;173;229;;;;;
;;158;150;158;221;;;170;170;169;244;;;;242;228;233;428;;;258;247;264;4331;;;;158;149;145;218;;;171;171;167;238;;;;;
;;148;148;157;217;;;161;172;175;233;;;;232;237;242;457;;;251;261;257;4178;;;;152;165;151;231;;;165;176;168;250;;;;;
;;152;155;160;224;;;167;166;174;248;;;;242;245;232;444;;;262;269;251;4217;;;;157;156;155;226;;;173;171;168;244;;;;;
;;163;152;141;233;;;173;172;160;245;;;;235;232;228;432;;;256;247;251;3955;;;;161;156;155;236;;;177;174;171;256;;;;;
;;157;159;140;221;;;170;174;162;246;;;;232;233;248;450;;;259;259;266;4181;;;;155;162;143;215;;;174;179;154;234;;;;;
;;154;157;146;227;;;165;167;163;245;;;;257;243;239;449;;;274;260;257;4189;;;;145;142;152;220;;;171;161;163;243;;;;;
;;151;147;129;222;;;162;163;155;250;;;;227;226;226;443;;;244;251;239;4276;;;;155;152;156;233;;;171;172;171;244;;;;;
;;158;149;156;226;;;171;166;169;247;;;;241;223;238;462;;;260;242;255;4085;;;;144;159;146;224;;;161;172;160;236;;;;;
;;158;145;150;225;;;168;163;165;243;;;;249;225;220;442;;;263;248;242;4197;;;;140;156;139;218;;;156;170;154;241;;;;;
;;150;151;154;224;;;166;168;173;245;;;;228;229;218;443;;;255;242;244;4164;;;;147;147;146;223;;;168;166;160;239;;;;;
;;157;151;150;227;;;169;166;167;242;;;;238;228;229;461;;;251;244;242;4215;;;;150;145;151;213;;;158;165;164;229;;;;;
;;160;160;158;212;;;180;169;169;234;;;;221;233;220;452;;;258;254;240;4374;;;;138;155;156;205;;;148;168;169;221;;;;;
;;149;144;154;222;;;168;160;171;244;;;;242;232;232;452;;;261;255;259;4487;;;;157;140;151;227;;;174;163;168;253;;;;;
;;159;149;148;226;;;178;159;163;248;;;;230;220;225;464;;;253;242;250;4225;;;;146;153;141;229;;;161;168;156;249;;;;;
;;153;152;162;224;;;171;167;177;243;;;;235;235;235;447;;;262;248;251;4069;;;;145;153;149;220;;;164;174;166;240;;;;;
;;148;144;146;226;;;159;158;155;246;;;;237;229;226;454;;;255;252;243;3916;;;;152;152;147;233;;;167;167;159;250;;;;;
;;153;151;141;234;;;162;167;161;253;;;;218;237;232;435;;;237;253;254;4125;;;;141;149;149;223;;;159;170;163;243;;;;;
;;151;134;152;229;;;168;156;170;244;;;;231;223;227;457;;;250;244;246;4219;;;;148;149;151;233;;;160;169;161;245;;;;;
;;147;150;152;210;;;162;163;163;231;;;;219;243;222;451;;;236;257;244;4384;;;;152;149;148;216;;;170;160;159;233;;;;;
;;146;145;149;230;;;169;158;161;247;;;;231;240;231;462;;;258;251;243;4215;;;;141;141;142;223;;;154;156;162;235;;;;;
;;154;149;145;232;;;168;161;161;258;;;;222;215;224;435;;;249;248;239;4599;;;;146;143;149;220;;;162;159;164;239;;;;;
;;142;147;139;222;;;157;161;151;238;;;;220;221;236;454;;;240;244;251;4034;;;;138;143;153;227;;;156;165;168;243;;;;;
;;143;150;144;219;;;162;160;161;239;;;;229;221;221;437;;;246;239;230;4219;;;;151;146;150;226;;;171;159;164;246;;;;;
;;158;146;148;228;;;170;158;168;251;;;;227;235;235;446;;;255;253;257;4364;;;;148;152;148;228;;;157;167;164;248;;;;;
;;151;154;153;230;;;163;163;169;245;;;;227;233;223;471;;;239;254;241;3983;;;;145;149;143;223;;;157;170;156;242;;;;;
;;146;151;155;217;;;164;162;172;244;;;;231;221;227;444;;;247;254;244;4452;;;;150;150;141;218;;;165;162;160;236;;;;;
;
;
;
